id,nombre,creador_organizacion,descripcion_resumida,categorias_originales,categorias_normalizadas,tipo_de_tarea,autonomia,publico_objetivo,riesgo,Utilidad,Confiabilidad,Claridad,UX,Mantenimiento,Transparencia,Seguridad,score_total,senales_de_popularidad,ultima_actividad_en_archivo,modelos_observados,evidencia_en_archivo,alertas,system_role_messages_n,system_role_messages_nonempty_n,system_prompts_n_unicos,system_prompt_principal,system_prompt_principal_count,system_prompt_evidencia,system_prompt_nota
g-p-6855eeea991481919651f6568caae07b,No disponible en archivo,No disponible en archivo,Evidencia de uso: Brown Mascara Guide | Tinted vs Translucent Powder | BB vs CC Creams | SEO article creation | Glycolic Acid SEO Article...,Ausente,"diseño, marketing",generación,asistente,profesionales,bajo,2.09,1.6,1.8,1.8,3.48,1.2,2.8,2.042,11,2025-10-03T06:12:09.003595+00:00,gpt-4o; o3; gpt-4-5; gpt-5-thinking,conversations.json: gizmo_id=g-p-6855eeea991481919651f6568caae07b; títulos=Brown Mascara Guide | Tinted vs Translucent Powder | BB vs CC Creams | SEO article creation | Glycolic Acid SEO Article; modelo=gpt-4o; o3; gpt-4-5; gpt-5-thinking,,43,0,0,No disponible en archivo,0,No disponible en archivo,"En este export, los mensajes con role=system existen pero su `content.parts` viene vacío; no hay texto de system prompt del GPT."
g-69156ad25f6c8191926ad7eb1290331b,No disponible en archivo,No disponible en archivo,Evidencia de uso: New chat | Content proposal draft | Content proposal summary | HVAC service proposal | HVAC content rewrite...,Ausente,marketing,generación,asistente,profesionales,bajo,2.09,2.6,3,3.2,4.18,1.2,2.8,2.632,11,2025-11-14T04:47:56.619400+00:00,gpt-5-1-thinking,conversations.json: gizmo_id=g-69156ad25f6c8191926ad7eb1290331b; títulos=New chat | Content proposal draft | Content proposal summary | HVAC service proposal | HVAC content rewrite; modelo=gpt-5-1-thinking,,36,0,0,No disponible en archivo,0,No disponible en archivo,"En este export, los mensajes con role=system existen pero su `content.parts` viene vacío; no hay texto de system prompt del GPT."
g-p-68e3efce7f0481918a0519e7413a30bf,No disponible en archivo,No disponible en archivo,Evidencia de uso: SEO content editing | SEO content editing plan | Balayage content refinement | Artículo SEO Balayage | Hilo · Draft to polish...,Ausente,"marketing, investigación",planificación,copiloto,profesionales,bajo,1.98,1.6,1.8,1.8,3.53,1.2,2.8,2.019,9,2025-10-06T21:45:17.470543+00:00,gpt-5-thinking,conversations.json: gizmo_id=g-p-68e3efce7f0481918a0519e7413a30bf; títulos=SEO content editing | SEO content editing plan | Balayage content refinement | Artículo SEO Balayage | Hilo · Draft to polish; modelo=gpt-5-thinking,,40,0,0,No disponible en archivo,0,No disponible en archivo,"En este export, los mensajes con role=system existen pero su `content.parts` viene vacío; no hay texto de system prompt del GPT."
g-69069dfcd1b88191ad66b25ebb4e3c06,No disponible en archivo,No disponible en archivo,Evidencia de uso: Auditoría de PromptSpec v1.3 | Jugar y ganar backgammon | Auditoría de GPT | Diseño Brief Optimizer | Diseñar GPT para artículos...,Ausente,"diseño, investigación",generación,asistente,profesionales,bajo,1.98,4.2,4.2,3.6,3.98,4.4,4.6,3.624,9,2025-11-02T21:53:25.126658+00:00,gpt-5; gpt-5-thinking,conversations.json: gizmo_id=g-69069dfcd1b88191ad66b25ebb4e3c06; títulos=Auditoría de PromptSpec v1.3 | Jugar y ganar backgammon | Auditoría de GPT | Diseño Brief Optimizer | Diseñar GPT para artículos; modelo=gpt-5; gpt-5-thinking,,31,0,0,No disponible en archivo,0,No disponible en archivo,"En este export, los mensajes con role=system existen pero su `content.parts` viene vacío; no hay texto de system prompt del GPT."
g-69422d86b9a48191ae814610a91531ee,No disponible en archivo,No disponible en archivo,Evidencia de uso: Carrusel IG Inversionistas 2026 | Carrusel IG Copy | Copy fin de año | Property management ajustes | Proyecto Real Estate largo plazo...,Ausente,"marketing, finanzas, entretenimiento","escritura, creatividad, consulta/búsqueda",asistente,profesionales,medio,1.98,2.6,3,3.2,4.93,1.2,1.9,2.589,9,2025-12-29T22:39:39.208548+00:00,gpt-5-2-thinking,conversations.json: gizmo_id=g-69422d86b9a48191ae814610a91531ee; títulos=Carrusel IG Inversionistas 2026 | Carrusel IG Copy | Copy fin de año | Property management ajustes | Proyecto Real Estate largo plazo; modelo=gpt-5-2-thinking,Tema sensible (YMYL) sin disclaimers detectables en el archivo,34,0,0,No disponible en archivo,0,No disponible en archivo,"En este export, los mensajes con role=system existen pero su `content.parts` viene vacío; no hay texto de system prompt del GPT."
g-690554ed497081919c81d0b73c184e97,No disponible en archivo,No disponible en archivo,Evidencia de uso: Usos pinaverio dimeticona | Reducir texto sin perder función | Instrucciones para usarme | Editor L’Oréal Beauty Magazine | Resumir especificación PromptSpec...,Ausente,"investigación, entretenimiento","consulta/búsqueda, creatividad",asistente,profesionales,bajo,1.98,3.2,3.8,3.6,4,3.4,3.4,3.146,9,2025-11-03T05:10:06.303163+00:00,gpt-5-thinking; gpt-5,conversations.json: gizmo_id=g-690554ed497081919c81d0b73c184e97; títulos=Usos pinaverio dimeticona | Reducir texto sin perder función | Instrucciones para usarme | Editor L’Oréal Beauty Magazine | Resumir especificación PromptSpec; modelo=gpt-5-thinking; gpt-5,,34,0,0,No disponible en archivo,0,No disponible en archivo,"En este export, los mensajes con role=system existen pero su `content.parts` viene vacío; no hay texto de system prompt del GPT."
g-6912647eeaf881918385fb4024b11497,No disponible en archivo,No disponible en archivo,Evidencia de uso: Fusion report proposal | Fusion report and proposal | Missing inputs for report...,Ausente,otros,generación,asistente,general,bajo,1.92,2.6,3,3.2,4.18,1.2,2.8,2.588,8,2025-11-14T05:26:24.240720+00:00,gpt-5-thinking; gpt-5-1-thinking,conversations.json: gizmo_id=g-6912647eeaf881918385fb4024b11497; títulos=Fusion report proposal | Fusion report and proposal | Missing inputs for report; modelo=gpt-5-thinking; gpt-5-1-thinking,,57,0,0,No disponible en archivo,0,No disponible en archivo,"En este export, los mensajes con role=system existen pero su `content.parts` viene vacío; no hay texto de system prompt del GPT."
g-68ee9ba887788191bfd296e8fb93a1e2,No disponible en archivo,No disponible en archivo,Evidencia de uso: Mapa CV requisitos JD | Hilo · Estrategia de búsqueda laboral | Estrategia de búsqueda laboral | Estrategia búsqueda empleo tech | Detalles vacante LinkedIn...,Ausente,"negocios, diseño, marketing","escritura, planificación",copiloto,profesionales,bajo,1.92,2.6,3,3.2,3.7,1.2,2.8,2.54,8,2025-10-16T19:49:11.406615+00:00,gpt-5; gpt-5-thinking,conversations.json: gizmo_id=g-68ee9ba887788191bfd296e8fb93a1e2; títulos=Mapa CV requisitos JD | Hilo · Estrategia de búsqueda laboral | Estrategia de búsqueda laboral | Estrategia búsqueda empleo tech | Detalles vacante LinkedIn; modelo=gpt-5; gpt-5-thinking,,41,0,0,No disponible en archivo,0,No disponible en archivo,"En este export, los mensajes con role=system existen pero su `content.parts` viene vacío; no hay texto de system prompt del GPT."
g-694172b6d00481918bbdc7b1c158e3cd,No disponible en archivo,No disponible en archivo,Evidencia de uso: Palabras relacionadas al rodeo | Copy fin de año | Video feria rodeo | Caption Finanz butik | Mejorar Property Management...,Ausente,"marketing, entretenimiento","escritura, creatividad",asistente,profesionales,bajo,1.85,4.2,4.2,3.6,4.83,4.4,4.6,3.675,7,2025-12-23T21:07:10.479763+00:00,gpt-5-2-thinking,conversations.json: gizmo_id=g-694172b6d00481918bbdc7b1c158e3cd; títulos=Palabras relacionadas al rodeo | Copy fin de año | Video feria rodeo | Caption Finanz butik | Mejorar Property Management; modelo=gpt-5-2-thinking,,34,0,0,No disponible en archivo,0,No disponible en archivo,"En este export, los mensajes con role=system existen pero su `content.parts` viene vacío; no hay texto de system prompt del GPT."
g-68edd58d812081919dc5ea50bd9768b0,No disponible en archivo,No disponible en archivo,Evidencia de uso: Vacante USA Payroll Specialist | Campaign success summary | Carta de presentación SEM Manager | New chat | Job application assistance...,Ausente,"diseño, marketing",escritura,asistente,profesionales,bajo,1.85,2.6,3,3.2,3.67,1.2,2.8,2.518,7,2025-10-14T19:15:28.981239+00:00,gpt-5-thinking; gpt-5,conversations.json: gizmo_id=g-68edd58d812081919dc5ea50bd9768b0; títulos=Vacante USA Payroll Specialist | Campaign success summary | Carta de presentación SEM Manager | New chat | Job application assistance; modelo=gpt-5-thinking; gpt-5,,23,0,0,No disponible en archivo,0,No disponible en archivo,"En este export, los mensajes con role=system existen pero su `content.parts` viene vacío; no hay texto de system prompt del GPT."
g-694046a2fe988191bcb535991173d947,No disponible en archivo,No disponible en archivo,Evidencia de uso: Copy Carrusel IG 2026 | Copy Carrusel IG | Copy fin de año | Configuración de modos y lentes | Copys propósitos Año Nuevo...,Ausente,marketing,escritura,asistente,profesionales,bajo,1.85,2.6,3,3.2,4.93,1.2,2.8,2.645,7,2025-12-29T22:50:05.554634+00:00,gpt-5-2-thinking,conversations.json: gizmo_id=g-694046a2fe988191bcb535991173d947; títulos=Copy Carrusel IG 2026 | Copy Carrusel IG | Copy fin de año | Configuración de modos y lentes | Copys propósitos Año Nuevo; modelo=gpt-5-2-thinking,,28,0,0,No disponible en archivo,0,No disponible en archivo,"En este export, los mensajes con role=system existen pero su `content.parts` viene vacío; no hay texto de system prompt del GPT."
g-6953cb05fb948191a3279f19fcc7800b,No disponible en archivo,No disponible en archivo,Evidencia de uso: Configuración de copy original | Correcciones cliente One-Stop-Shop | Max 5 Slides Miami | Out Copy Cierre Año | Instrucciones personalización GPT...,Ausente,marketing,escritura,asistente,profesionales,bajo,1.85,3.2,3.8,3.6,5,3.4,3.4,3.212,7,2026-01-02T17:50:42.248361+00:00,gpt-5-2-thinking,conversations.json: gizmo_id=g-6953cb05fb948191a3279f19fcc7800b; títulos=Configuración de copy original | Correcciones cliente One-Stop-Shop | Max 5 Slides Miami | Out Copy Cierre Año | Instrucciones personalización GPT; modelo=gpt-5-2-thinking,,25,0,0,No disponible en archivo,0,No disponible en archivo,"En este export, los mensajes con role=system existen pero su `content.parts` viene vacío; no hay texto de system prompt del GPT."
g-68f89e6575548191b87ef18b54fcee5f,No disponible en archivo,No disponible en archivo,Evidencia de uso: Análisis de fuentes profundas | Cómo aprovecharme al máximo | Síntesis en tabla | Análisis y preguntas artículos | Explicación matrices investigación...,Ausente,"investigación, utilidades, educación","análisis, consulta/búsqueda, tutoría",asistente,estudiantes,bajo,1.85,2.6,3,3.2,3.88,1.2,2.8,2.54,7,2025-10-27T15:52:52.075821+00:00,gpt-5; gpt-4o; gpt-5-thinking,conversations.json: gizmo_id=g-68f89e6575548191b87ef18b54fcee5f; títulos=Análisis de fuentes profundas | Cómo aprovecharme al máximo | Síntesis en tabla | Análisis y preguntas artículos | Explicación matrices investigación; modelo=gpt-5; gpt-4o; gpt-5-thinking,,22,0,0,No disponible en archivo,0,No disponible en archivo,"En este export, los mensajes con role=system existen pero su `content.parts` viene vacío; no hay texto de system prompt del GPT."
g-p-6922e30240dc81919a914422c8b85ed2,No disponible en archivo,No disponible en archivo,Evidencia de uso: GPT especializado perros | Manejo de ansiedad canina | Actualización entrenamiento perros | Actualización sobre perros | Planes de entrenamiento perros...,Ausente,salud/bienestar,planificación,copiloto,general,alto,1.85,2.6,3,3.2,4.97,1.2,1,1.481,7,2025-12-31T16:08:40.374423+00:00,gpt-5-1-thinking; gpt-5-2-thinking,conversations.json: gizmo_id=g-p-6922e30240dc81919a914422c8b85ed2; títulos=GPT especializado perros | Manejo de ansiedad canina | Actualización entrenamiento perros | Actualización sobre perros | Planes de entrenamiento perros; modelo=gpt-5-1-thinking; gpt-5-2-thinking,No recomendado (riesgo alto sin mitigaciones detectables); Tema sensible (YMYL) sin disclaimers detectables en el archivo,33,0,0,No disponible en archivo,0,No disponible en archivo,"En este export, los mensajes con role=system existen pero su `content.parts` viene vacío; no hay texto de system prompt del GPT."
g-693363bb8fa481918b47450ed29e3b15,No disponible en archivo,No disponible en archivo,Evidencia de uso: Copy para Navidad | Citas para Rodeo Saltillo | Imágenes rodeo navideñas | Trends navideños rodeos | Buscar publicaciones navideñas...,Ausente,marketing,"consulta/búsqueda, escritura",asistente,profesionales,bajo,1.85,1.6,1.8,1.8,4.62,1.2,2.8,2.093,7,2025-12-10T16:14:59.294957+00:00,gpt-5-1-thinking; gpt-5-1; gpt-5-instant,conversations.json: gizmo_id=g-693363bb8fa481918b47450ed29e3b15; títulos=Copy para Navidad | Citas para Rodeo Saltillo | Imágenes rodeo navideñas | Trends navideños rodeos | Buscar publicaciones navideñas; modelo=gpt-5-1-thinking; gpt-5-1; gpt-5-instant,,24,0,0,No disponible en archivo,0,No disponible en archivo,"En este export, los mensajes con role=system existen pero su `content.parts` viene vacío; no hay texto de system prompt del GPT."
g-691e4168e4ac81918065530db19f1f7c,No disponible en archivo,No disponible en archivo,Evidencia de uso: Funciones y modos de uso | Cierre capítulo antecedentes | Análisis y pulido académico | Sugerencia de antecedentes | Cómo usarme eficazmente...,Ausente,investigación,análisis,asistente,profesionales,bajo,1.77,2.6,3,3.2,4.28,1.2,2.8,2.56,6,2025-11-20T04:13:37.687950+00:00,gpt-5-1-thinking,conversations.json: gizmo_id=g-691e4168e4ac81918065530db19f1f7c; títulos=Funciones y modos de uso | Cierre capítulo antecedentes | Análisis y pulido académico | Sugerencia de antecedentes | Cómo usarme eficazmente; modelo=gpt-5-1-thinking,,24,0,0,No disponible en archivo,0,No disponible en archivo,"En este export, los mensajes con role=system existen pero su `content.parts` viene vacío; no hay texto de system prompt del GPT."
g-68f0f6bd4a248191a704e311892cb81f,No disponible en archivo,No disponible en archivo,Evidencia de uso: Heating & AC Content | Compare content versions | SEO content analysis | SEO content ideas | Estrategia SEO local...,Ausente,"marketing, entretenimiento, negocios","creatividad, planificación",copiloto,profesionales,bajo,1.77,2.6,3,3.2,3.98,1.2,2.8,2.53,6,2025-11-02T21:21:53.081658+00:00,gpt-5,conversations.json: gizmo_id=g-68f0f6bd4a248191a704e311892cb81f; títulos=Heating & AC Content | Compare content versions | SEO content analysis | SEO content ideas | Estrategia SEO local; modelo=gpt-5,,46,0,0,No disponible en archivo,0,No disponible en archivo,"En este export, los mensajes con role=system existen pero su `content.parts` viene vacío; no hay texto de system prompt del GPT."
g-69556bc417188191803522c8bbebfaa8,No disponible en archivo,No disponible en archivo,Evidencia de uso: Análisis y comparación librería | Ideas creativas rodeo Año Nuevo | Propuesta OutCopy Video | Análisis y evaluación catálogo | Inversión en Real Estate...,Ausente,"investigación, marketing, finanzas","análisis, escritura, creatividad",asistente,profesionales,bajo,1.77,4.2,4.2,3.6,5,4.4,4.6,3.671,6,2026-01-02T19:11:16.970878+00:00,gpt-5-2-thinking,conversations.json: gizmo_id=g-69556bc417188191803522c8bbebfaa8; títulos=Análisis y comparación librería | Ideas creativas rodeo Año Nuevo | Propuesta OutCopy Video | Análisis y evaluación catálogo | Inversión en Real Estate; modelo=gpt-5-2-thinking,,24,0,0,No disponible en archivo,0,No disponible en archivo,"En este export, los mensajes con role=system existen pero su `content.parts` viene vacío; no hay texto de system prompt del GPT."
g-68f34643c06c8191ad94a70d0af082df,No disponible en archivo,No disponible en archivo,Evidencia de uso: Tiqué en filosofía y mitología | Automatizar procesos con IA | Planificación de tarea cognitiva | Mejores formas de fuerza | Esquema artículo TDAH...,Ausente,"educación, investigación","agente/automatización, planificación",agente,estudiantes,bajo,1.67,1.6,1.8,1.8,3.92,1.2,2.8,1.979,5,2025-10-29T06:23:12.964264+00:00,gpt-5-thinking; gpt-5,conversations.json: gizmo_id=g-68f34643c06c8191ad94a70d0af082df; títulos=Tiqué en filosofía y mitología | Automatizar procesos con IA | Planificación de tarea cognitiva | Mejores formas de fuerza | Esquema artículo TDAH; modelo=gpt-5-thinking; gpt-5,,14,0,0,No disponible en archivo,0,No disponible en archivo,"En este export, los mensajes con role=system existen pero su `content.parts` viene vacío; no hay texto de system prompt del GPT."
g-6906850e9dc481918ecda45348be5ff5,No disponible en archivo,No disponible en archivo,Evidencia de uso: Estrategia colaboración tareas | Estrategia para entrevista SEO | GPTs para optimización de artículos | Hilo · Estrategia colaboración tareas | Recuperar conver...,Ausente,"negocios, educación, marketing",planificación,copiloto,estudiantes,bajo,1.67,2.6,3,3.2,4,1.2,2.8,2.508,5,2025-11-03T02:32:03.951457+00:00,gpt-5-thinking; gpt-5,conversations.json: gizmo_id=g-6906850e9dc481918ecda45348be5ff5; títulos=Estrategia colaboración tareas | Estrategia para entrevista SEO | GPTs para optimización de artículos | Hilo · Estrategia colaboración tareas | Recuperar conversación anterior; modelo=gpt-5-thinking; gpt-5,,32,0,0,No disponible en archivo,0,No disponible en archivo,"En este export, los mensajes con role=system existen pero su `content.parts` viene vacío; no hay texto de system prompt del GPT."
g-p-691db94221f48191bed67eba028e56ae,No disponible en archivo,No disponible en archivo,Evidencia de uso: CV adaptado copywriting | Escritura creativa y SEO | Perfil profesional copywriter | Job scan summary | CV sections for SEO...,Ausente,marketing,"escritura, generación",asistente,profesionales,bajo,1.67,2.6,3,3.2,4.28,1.2,2.8,2.536,5,2025-11-20T22:00:11.973566+00:00,gpt-5-1-thinking,conversations.json: gizmo_id=g-p-691db94221f48191bed67eba028e56ae; títulos=CV adaptado copywriting | Escritura creativa y SEO | Perfil profesional copywriter | Job scan summary | CV sections for SEO; modelo=gpt-5-1-thinking,,38,0,0,No disponible en archivo,0,No disponible en archivo,"En este export, los mensajes con role=system existen pero su `content.parts` viene vacío; no hay texto de system prompt del GPT."
g-6944d6f7189c8191ad1555cdd3eeb6c4,No disponible en archivo,No disponible en archivo,Evidencia de uso: Analizar y mejorar documento | Audit SEO GEO AEO | Auditoría y estrategia web | Auditoría estrategia plan...,Ausente,"marketing, negocios",planificación,copiloto,profesionales,bajo,1.56,3.6,3.4,3.2,4.83,2.2,4,3.043,4,2025-12-23T19:46:05.105445+00:00,gpt-5-2-thinking,conversations.json: gizmo_id=g-6944d6f7189c8191ad1555cdd3eeb6c4; títulos=Analizar y mejorar documento | Audit SEO GEO AEO | Auditoría y estrategia web | Auditoría estrategia plan; modelo=gpt-5-2-thinking,,32,0,0,No disponible en archivo,0,No disponible en archivo,"En este export, los mensajes con role=system existen pero su `content.parts` viene vacío; no hay texto de system prompt del GPT."
g-68f0953bf4fc8191ab763b1d239abcfd,No disponible en archivo,No disponible en archivo,Evidencia de uso: Análisis de la sombra | Neurodivergencia y soledad | Sostener la dignidad | Análisis de vínculo emocional...,Ausente,investigación,análisis,asistente,profesionales,bajo,1.56,1.6,1.8,1.8,3.75,1.2,2.8,1.935,4,2025-10-19T16:54:13.405777+00:00,gpt-5,conversations.json: gizmo_id=g-68f0953bf4fc8191ab763b1d239abcfd; títulos=Análisis de la sombra | Neurodivergencia y soledad | Sostener la dignidad | Análisis de vínculo emocional; modelo=gpt-5,,14,0,0,No disponible en archivo,0,No disponible en archivo,"En este export, los mensajes con role=system existen pero su `content.parts` viene vacío; no hay texto de system prompt del GPT."
g-690927c907688191b3aee913b101dc9d,No disponible en archivo,No disponible en archivo,Evidencia de uso: Aplicación de enlaces internos | New chat | Aplicación de internos | Archivos con enlaces...,Ausente,otros,generación,asistente,general,bajo,1.56,2.6,3,3.2,4.02,1.2,2.8,2.482,4,2025-11-04T19:00:12.844368+00:00,gpt-5-thinking,conversations.json: gizmo_id=g-690927c907688191b3aee913b101dc9d; títulos=Aplicación de enlaces internos | New chat | Aplicación de internos | Archivos con enlaces; modelo=gpt-5-thinking,,12,0,0,No disponible en archivo,0,No disponible en archivo,"En este export, los mensajes con role=system existen pero su `content.parts` viene vacío; no hay texto de system prompt del GPT."
g-6909279ae5188191a4b4c2ac2464a1e7,No disponible en archivo,No disponible en archivo,Evidencia de uso: SEO article edit | Foundation for acne prone skin | Best foundations for acne...,Ausente,marketing,generación,asistente,profesionales,bajo,1.56,2.6,3,3.2,4.02,1.2,2.8,2.482,4,2025-11-04T18:39:07.574086+00:00,gpt-5-thinking; gpt-5,conversations.json: gizmo_id=g-6909279ae5188191a4b4c2ac2464a1e7; títulos=SEO article edit | Foundation for acne prone skin | Best foundations for acne; modelo=gpt-5-thinking; gpt-5,,17,0,0,No disponible en archivo,0,No disponible en archivo,"En este export, los mensajes con role=system existen pero su `content.parts` viene vacío; no hay texto de system prompt del GPT."
g-68f57f117d60819195fe44aff2b4651d,No disponible en archivo,No disponible en archivo,Evidencia de uso: Hilo · Auditoría SEO sitio web | Auditoría SEO sitio web | New chat...,Ausente,marketing,generación,asistente,profesionales,bajo,1.56,2.6,3,3.2,4.17,1.2,2.8,2.497,4,2025-11-13T16:55:07.769935+00:00,gpt-5,conversations.json: gizmo_id=g-68f57f117d60819195fe44aff2b4651d; títulos=Hilo · Auditoría SEO sitio web | Auditoría SEO sitio web | New chat; modelo=gpt-5,,110,0,0,No disponible en archivo,0,No disponible en archivo,"En este export, los mensajes con role=system existen pero su `content.parts` viene vacío; no hay texto de system prompt del GPT."
g-6953d165ba908191bbc2906cb669f96a,No disponible en archivo,No disponible en archivo,Evidencia de uso: Automatización workflow diario | Proceso de copy para emails | Sistema de trabajo 5 clientes | Sistema de trabajo cliente...,Ausente,marketing,"agente/automatización, planificación, escritura",agente,profesionales,bajo,1.56,2.6,3,3.2,4.97,1.2,2.8,2.577,4,2025-12-31T05:22:31.086613+00:00,gpt-5-2-thinking,conversations.json: gizmo_id=g-6953d165ba908191bbc2906cb669f96a; títulos=Automatización workflow diario | Proceso de copy para emails | Sistema de trabajo 5 clientes | Sistema de trabajo cliente; modelo=gpt-5-2-thinking,,16,0,0,No disponible en archivo,0,No disponible en archivo,"En este export, los mensajes con role=system existen pero su `content.parts` viene vacío; no hay texto de system prompt del GPT."
g-p-69335c85208481919905015a09fa46a3,No disponible en archivo,No disponible en archivo,Evidencia de uso: Prompt para contenido IG | Estrategia IG Festival | Buscar referencias externas | Reels y fotos rodeo...,Ausente,negocios,"consulta/búsqueda, planificación",copiloto,profesionales,bajo,1.56,2.6,3,3.2,4.85,1.2,2.8,2.565,4,2025-12-24T00:08:20.520404+00:00,gpt-5-2-thinking; gpt-5-1-thinking,conversations.json: gizmo_id=g-p-69335c85208481919905015a09fa46a3; títulos=Prompt para contenido IG | Estrategia IG Festival | Buscar referencias externas | Reels y fotos rodeo; modelo=gpt-5-2-thinking; gpt-5-1-thinking,,23,0,0,No disponible en archivo,0,No disponible en archivo,"En este export, los mensajes con role=system existen pero su `content.parts` viene vacío; no hay texto de system prompt del GPT."
g-p-6945d29fd8808191bd9a2d38804b5710,No disponible en archivo,No disponible en archivo,Evidencia de uso: Set de Stories ES-MX | Generación de copy IG | Captions para Finanz Butik | Actualización de COPY Finanz Butik...,Ausente,marketing,"escritura, generación",asistente,profesionales,bajo,1.56,3.2,3.8,3.6,4.97,3.4,3.4,3.137,4,2025-12-31T20:12:41.862525+00:00,gpt-5-2-thinking,conversations.json: gizmo_id=g-p-6945d29fd8808191bd9a2d38804b5710; títulos=Set de Stories ES-MX | Generación de copy IG | Captions para Finanz Butik | Actualización de COPY Finanz Butik; modelo=gpt-5-2-thinking,,73,0,0,No disponible en archivo,0,No disponible en archivo,"En este export, los mensajes con role=system existen pero su `content.parts` viene vacío; no hay texto de system prompt del GPT."
g-690d135bc7b08191ae1471be4e0f1924,No disponible en archivo,No disponible en archivo,Evidencia de uso: Qué puedo hacer por ti | Estrategia para mejorar CTR | Instrucciones de uso | Estrategia para resolver problema...,Ausente,negocios,planificación,copiloto,profesionales,bajo,1.56,2.6,3,3.2,4.07,1.2,2.8,2.487,4,2025-11-07T07:41:45.449427+00:00,gpt-5-thinking,conversations.json: gizmo_id=g-690d135bc7b08191ae1471be4e0f1924; títulos=Qué puedo hacer por ti | Estrategia para mejorar CTR | Instrucciones de uso | Estrategia para resolver problema; modelo=gpt-5-thinking,,15,0,0,No disponible en archivo,0,No disponible en archivo,"En este export, los mensajes con role=system existen pero su `content.parts` viene vacío; no hay texto de system prompt del GPT."
g-6906c8ed078081918f24ebb16308bd3f,No disponible en archivo,No disponible en archivo,Evidencia de uso: Auditoría Loreal Tracker | Generación de prompts GPT | Optimización de Brief JD | Cómo usarme...,Ausente,otros,generación,asistente,general,bajo,1.56,3.2,3.8,3.6,4,3.4,3.4,3.04,4,2025-11-03T03:11:32.216913+00:00,gpt-5-thinking,conversations.json: gizmo_id=g-6906c8ed078081918f24ebb16308bd3f; títulos=Auditoría Loreal Tracker | Generación de prompts GPT | Optimización de Brief JD | Cómo usarme; modelo=gpt-5-thinking,,15,0,0,No disponible en archivo,0,No disponible en archivo,"En este export, los mensajes con role=system existen pero su `content.parts` viene vacío; no hay texto de system prompt del GPT."
g-p-691f5f5eaf9081918b7f0c877c37a9ae,No disponible en archivo,No disponible en archivo,Evidencia de uso: Job search assistance overview | Diagnóstico CV Copywriter | CV Copywriter Adaptación | CV creativo y storytelling...,Ausente,marketing,"escritura, creatividad, análisis",asistente,profesionales,bajo,1.56,2.6,3,3.2,4.33,1.2,2.8,2.513,4,2025-11-23T08:42:08.363338+00:00,gpt-5-1-thinking,conversations.json: gizmo_id=g-p-691f5f5eaf9081918b7f0c877c37a9ae; títulos=Job search assistance overview | Diagnóstico CV Copywriter | CV Copywriter Adaptación | CV creativo y storytelling; modelo=gpt-5-1-thinking,,36,0,0,No disponible en archivo,0,No disponible en archivo,"En este export, los mensajes con role=system existen pero su `content.parts` viene vacío; no hay texto de system prompt del GPT."
g-690523ffa44c81919ed6d0e1708c93fc,No disponible en archivo,No disponible en archivo,Evidencia de uso: Revisión de copy inmobiliario | Email rewrite request | Correo para Amanda | Instrucciones StyleSmith...,Ausente,marketing,"escritura, análisis",asistente,profesionales,bajo,1.56,1.6,1.8,1.8,4.65,1.2,2.8,2.025,4,2025-12-12T20:19:58.029574+00:00,gpt-5; gpt-5-2-thinking; gpt-5-thinking,conversations.json: gizmo_id=g-690523ffa44c81919ed6d0e1708c93fc; títulos=Revisión de copy inmobiliario | Email rewrite request | Correo para Amanda | Instrucciones StyleSmith; modelo=gpt-5; gpt-5-2-thinking; gpt-5-thinking,,16,0,0,No disponible en archivo,0,No disponible en archivo,"En este export, los mensajes con role=system existen pero su `content.parts` viene vacío; no hay texto de system prompt del GPT."
g-6903dd72e88c8191b0f943f55258704c,No disponible en archivo,No disponible en archivo,Evidencia de uso: Simulación entrevista SEO | Simulación entrevista Copywriting | Preparación entrevista técnica...,Ausente,marketing,escritura,asistente,profesionales,bajo,1.56,1.6,1.8,1.8,3.95,1.2,2.8,1.955,4,2025-10-31T01:41:09.856507+00:00,gpt-5; gpt-5-thinking,conversations.json: gizmo_id=g-6903dd72e88c8191b0f943f55258704c; títulos=Simulación entrevista SEO | Simulación entrevista Copywriting | Preparación entrevista técnica; modelo=gpt-5; gpt-5-thinking,,9,0,0,No disponible en archivo,0,No disponible en archivo,"En este export, los mensajes con role=system existen pero su `content.parts` viene vacío; no hay texto de system prompt del GPT."
g-6906e586a3708191be5905339934af17,No disponible en archivo,No disponible en archivo,Evidencia de uso: Posición inicial backgammon | Movimiento con tiro doble | Efectos de sacar 2-6 | Tirada repetida backgammon...,Ausente,otros,generación,asistente,general,bajo,1.56,1.6,1.8,1.8,3.98,1.2,2.8,1.958,4,2025-11-02T05:25:33.875151+00:00,gpt-4o; gpt-5,conversations.json: gizmo_id=g-6906e586a3708191be5905339934af17; títulos=Posición inicial backgammon | Movimiento con tiro doble | Efectos de sacar 2-6 | Tirada repetida backgammon; modelo=gpt-4o; gpt-5,,8,0,0,No disponible en archivo,0,No disponible en archivo,"En este export, los mensajes con role=system existen pero su `content.parts` viene vacío; no hay texto de system prompt del GPT."
